Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
104,يلي,يافث,ولد,بلاد,حام,الحبشه,كوش,المغرب,والحبشه,وهم,45,43,29,Descendants of Noah - general some focus on West
105,تفرد,حديث,غريب,الحديث,عنه,به,وتفرد,يروه,الزهري,سالم,45,43,2,
106,ولدته,بنت,حبيبه,قارا,للقران,الثقفي,حكيم,قانف,عروه,ام,45,42,38,
107,وابكاني,بس,النادمين,المتوسم,ازل,واعوذ,المتلوم,اعاتبه,مسجده,دعوته,44,42,39,
108,وجعلناه,هدي,واتينا,تتخذوا,دوني,وكيلا,لبني,اسرايل,شكورا,الكتاب,44,44,41,
109,مكيه,يوعدون,ذله,ترهقهم,الرحيم,بسم,خاشعه,ابصارهم,ياتيهم,ارسلنا,44,43,39,
110,وكلا,كذبوا,واعتدنا,للظالمين,اذهبا,وقرونا,وجعلناهم,وزيرا,اغرقناهم,ضربنا,44,42,43,
111,از,را,در,که,است,بود,این,تا,كه,بر,43,36,13,
112,دين,النصاري,مهب,دينهم,صبا,الجنوب,قبلتهم,الصابون,يزعمون,اليهوديه,43,42,42,Discussion of different religious groups and belief in Noah - mostly on Sabians
113,ارم,عاد,عوص,الاولي,بعاد,عادا,العماد,هاشم,الاخيره,قبيله,43,41,38,
114,مثلك,عصاني,تبعني,غفور,فانك,تذر,ديارا,رحيم,مني,الكافرين,42,42,41,
115,قزح,ابليس,قوس,فاخبرنا,فاوحي,المجره,واياك,واحدثك,عدو,فاني,42,40,30,
116,وعترتي,بيتي,يردا,الحوض,فيكم,يفترقا,تضلوا,ركبها,نجا,تمسكتم,42,34,35,"Hadith - popular with Shi'i authors? - comparing ahl bayt to Noah's ark - Ismaili texts, Dhahabi listing as non-Sahih"
117,جرير,حدثني,الاخطل,قبحك,الاصمعي,حوي,اخبرني,بشار,ثقيف,وقبح,42,40,26,
118,حدثني,حدثنا,نا,قيس,قال,عون,سمعت,الدنيا,هرم,سوار,42,39,31,
119,معاشهم,يزال,موافقه,يزل,القدر,ابليس,ولا,ممتنع,الكفار,فان,41,40,25,Almost exclusively Ibn Taymiyya - referring to Noah in relation to other Prophets - and Noah's people
120,البكا,الميت,تعليم,الصوت,والبكا,بدونه,الاجاره,الشعر,وشق,تعزيه,41,40,30,
121,الترديد,دعوته,ابدا,عبدتم,حييت,عابدون,حتما,كالذي,فهذا,بارع,41,40,32,Discussion of Noah in works of Tafsir
122,انذره,خفي,فاطنب,والنبيون,يخفي,شانه,عليكم,امته,الوداع,واثني,41,41,37,
123,الوسط,الصرف,الثلاثي,العجمه,الساكن,ساكن,السببين,هند,المنع,صرفه,41,38,30,
124,ومنهم,خسفنا,اخذته,الصيحه,اغرقنا,العنكبوت,اتخذوا,ليظلمهم,يظلمون,قارون,41,41,39,
125,فانك,ومثلك,تعذبهم,غفور,كمثل,عصاني,واشدد,الحكيم,مثلك,تغفر,40,38,38,
126,يتيمم,يتوضا,حنيفه,التمر,يجوز,التوض,يوسف,تعجيلها,وروي,وبه,40,40,27,
127,بالباطل,وجادلوا,ليدحضوا,لياخذوه,برسولهم,وهمت,والاحزاب,فاخذتهم,عقاب,كفروا,39,38,32,
128,ذراع,ذراعا,وعرضها,طولها,وطولها,ثلاثين,ثلاثماه,طول,ثلاثون,خمسون,39,33,30,
129,ونجيناه,الكرب,ولقد,المجيبون,فلنعم,نادانا,واهله,نجزي,المحسنين,المخلصين,39,39,35,
130,تذرن,ويعوق,الاصنام,اصنام,ودا,ويغوث,الهتكم,سواعا,اسما,ود,38,35,33,
131,اعبدوا,الاسلام,غيره,اله,الرسل,واجتنبوا,نستعين,الطاغوت,وصالح,العباده,38,37,17,
132,ثمود,ارم,عاد,اخاهم,والشام,الحجر,الحجاز,القليل,لقله,مساكنهم,38,38,33,
133,لتكونن,تنته,المرجومين,الشعرا,وبينهم,لن,بالحجاره,بيني,كذبون,بطارد,38,35,27,
134,ياتهم,اتتهم,والمتفكات,ليظلمهم,يظلمون,مدين,الم,نبا,رسلهم,انفسهم,37,37,35,
135,يا,ايها,باسماهم,اسكن,وزوجك,الرسول,باسمه,اهبط,خاطب,اعرض,37,36,32,
136,ساوي,يعصمني,اركب,تكن,معنا,معزل,اركبوا,لغفور,كالجبال,موج,37,37,33,
137,الحمامي,البقال,اميه,انا,السمرقندي,حبيب,الفضل,القاسم,سمعت,الحسن,37,37,2,
138,دير,قبر,جبل,وبها,قريه,الجودي,الجبل,مبني,ثمانين,استوت,37,34,26,
139,كلامي,فوصفه,راني,سراقه,انذركموه,سيدركه,لعله,الدجال,الجراح,واني,37,34,31,
140,تحقيق,الذهب,مروج,بيروت,تاريخ,دار,الكامل,القاهره,لابن,البلدان,37,36,31,
141,تتخذوا,حملنا,ذريه,دوني,وكيلا,ربا,شكورا,عبدا,الاسرا,وقضينا,36,33,34,
142,كمثل,ومثلك,الملاكه,والنقمه,جبريل,اعدا,عصاني,تبعني,غفور,ديارا,36,34,24,
143,فاجاب,والقواريري,سجاده,حنبل,وسجاده,الحبس,ومحمد,القواريري,فشدوا,الحديد,36,34,31,
144,ويجعل,باموال,ويمددكم,وبنين,انهارا,جنات,مدرارا,يرسل,غفارا,استغفروا,36,36,32,
