Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
486,11,العقبة,حذيفة,يقودها,بزمام,1,4,,4.0,,,,
82,82,العلوم,زمانه,علم,حافظا,3,47,43.0,,,3.0,1.0,
419,14,الغار,ياتيهما,امسي,فهيرة,1,9,,9.0,,,,
194,34,الف,درهم,دينار,النشو,3,25,6.0,,,3.0,16.0,
279,23,الف,دينار,الفي,خراج,2,10,,,1.0,9.0,,
432,13,الف,والمستقر,المحلولين,درهم,2,10,,,,3.0,7.0,
298,21,الفء,ايجاف,الغنيمة,والغنيمة,2,7,,4.0,,3.0,,
275,24,الفء,واليتامي,ولذي,خمسه,4,8,1.0,4.0,2.0,1.0,,
223,28,الفا,دينارا,بابة,وثلاثون,2,7,1.0,,,6.0,,
251,25,الفداء,باللامش,فودي,وانثي,1,6,,,,6.0,,
240,27,الفرنج,الثغرة,دمقلة,الغارات,4,21,2.0,,5.0,4.0,10.0,
13,427,الفرنج,المسلمين,دمياط,المسلمون,5,202,17.0,1.0,31.0,27.0,130.0,
294,22,الفضول,حلف,فمطله,فخذه,2,15,2.0,13.0,,,,
353,17,الفضول,حلف,وبنو,مظلمته,2,9,3.0,6.0,,,,
143,50,الفعل,الوجوب,فعله,القول,1,15,,15.0,,,,
477,12,الفقه,ونظر,ومولده,بدمشق,3,12,7.0,,,1.0,4.0,
65,99,الفلوس,الدراهم,الذهب,المبيعات,3,38,,1.0,,,23.0,14.0
440,13,الفلوس,الرطل,رطل,دراهم,3,9,,,1.0,,6.0,2.0
556,10,الفيشي,اوقع,محرفتهما,وانكشفا,2,9,3.0,,,,6.0,
498,11,الفيل,ملحان,مصعب,اعقله,1,9,,9.0,,,,
388,15,الفيوم,رايك,لنفسك,اختر,1,12,,,,12.0,,
56,109,القداح,الصادق,الشلعلع,الاهوازي,3,45,21.0,,15.0,9.0,,
392,15,القراءات,فقرا,وقرا,المقرء,1,14,14.0,,,,,
518,10,القرامطة,المغاربة,ميسور,فطوفوهم,3,8,1.0,,6.0,1.0,,
23,243,القران,السبعة,مصحف,لغات,3,80,4.0,68.0,,8.0,,
446,13,القضاة,المناوي,الاعز,ليزور,1,12,,,,,12.0,
546,10,القضاة,قاضي,قضاء,البلقيني,1,10,,,,,10.0,
217,29,القضاة,قضاء,قاضي,الحنفية,2,25,2.0,,,,23.0,
236,27,القمر,انشق,وانشق,منشقا,1,7,,7.0,,,,
180,37,القيامة,لامتي,دعوتي,دعوة,1,15,,15.0,,,,
196,34,القيروان,تونس,الدعي,الجروي,4,22,11.0,,7.0,3.0,1.0,
93,75,الكافة,مصالح,المءمنين,صلوات,5,33,5.0,1.0,10.0,14.0,,3.0
534,10,الكامل,الصالح,بعلبك,المعظم,2,8,,,,1.0,7.0,
179,37,الكساءي,السامري,حمزة,وطبقتهما,1,22,22.0,,,,,
81,84,الكعبة,الجنوب,سمت,اوسط,1,13,,,,13.0,,
300,21,الكناءس,كناءس,هدم,كنيسة,2,10,,,,8.0,2.0,
172,39,الكهنة,وملك,اعمالا,الحكمة,2,20,2.0,,,18.0,,
233,27,اللزام,بدر,قوله,الزقوم,1,17,,17.0,,,,
489,11,اللعين,فمزقوه,بالحجارة,واثخنوا,2,5,4.0,,,,1.0,
-1,69540,الله,عليه,الي,من,6,3758,3383.0,3632.0,603.0,2032.0,2728.0,121.0
173,39,اللهم,بارك,اغفر,اهد,1,6,,6.0,,,,
255,25,اللهم,عبدك,وانت,فاغفر,1,14,,14.0,,,,
203,32,المءمنين,تاتنا,طالبا,امير,2,25,24.0,,1.0,,,
118,60,المحن,المخطوطة,ايسون,جاهلون,2,21,,,,1.0,,20.0
64,100,المدعو,الداعي,الدعوة,وان,3,34,2.0,13.0,,19.0,,
58,105,المروة,راحلته,الهدي,بدنة,2,29,3.0,26.0,,,,
469,12,المزني,يذهب,يهب,ويقرا,1,11,11.0,,,,,
136,53,المستمسك,المعتمد,الموفق,للموفق,4,43,15.0,,12.0,13.0,3.0,
416,14,المسيح,عيد,وبعده,المقبور,1,7,,,,7.0,,
428,14,المصلي,فيصلي,فتوضع,سترة,1,6,,6.0,,,,
430,13,المطلب,اءتيا,ربيعة,الحارث,1,9,,9.0,,,,
349,17,المعتصم,بابك,اليسع,الامين,3,13,10.0,,2.0,1.0,,
381,16,المغنم,السبي,اجزاء,سهم,1,10,,10.0,,,,
150,46,المقدس,الاسراء,الهجرة,بسنة,1,16,,16.0,,,,
110,64,المقرءون,الخليفة,واستفتح,متولي,2,22,,,2.0,20.0,,
5,791,المقريزي,مكتبة,برقم,التاريخ,4,99,46.0,25.0,,1.0,,60.0
360,17,المقوقس,خصال,نعاملهم,تندموا,2,7,2.0,,,5.0,,
309,21,المكرم,الصليحي,نجاح,زبيد,2,7,,,,6.0,1.0,
